nameplate,generation,fuel,age,capacityfactor,co2emissions,co2emissionsRate
20,67544,HYDRO,95,0.3855,0,0
27,88801,HYDRO,90,0.3754,0,0
2,11086,HYDRO,107.2,0.6026,0,0
18,96256,HYDRO,53,0.6105,0,0
1867,12767100,COAL,29.5,0.7805,14372693.11,2251.52
38,274358,GEOTHERMAL,23.8,0.822,8230.74,60
16,1061,GAS,47,0.0076,1157.69,2182.26
999,316552,GAS,46,0.0362,253834.85,1603.75
149,11974,GAS,45.7,0.0092,11592.72,1936.32
38,2297,GAS,43,0.0069,2179.94,1898.07
729,70977,GAS,53.5,0.0111,53398.08,1504.66
19,58101,HYDRO,33,0.3566,0,0
4,13948,HYDRO,33,0.3981,0,0
1922,881390,GAS,52.5,0.0523,595368.16,1350.98
9,20863,HYDRO,33,0.2802,0,0
88,382375,HYDRO,95.3,0.4943,0,0
66,360339,HYDRO,96.5,0.6195,0,0
174,841970,HYDRO,74.9,0.5511,0,0
100,487279,HYDRO,64,0.5563,0,0
75,260726,HYDRO,89.2,0.3968,0,0
110,523882,HYDRO,87,0.5437,0,0
7,35105,HYDRO,106.1,0.549,0,0
8,33057,HYDRO,102,0.4901,0,0
8,50197,HYDRO,108.3,0.7442,0,0
5,15496,HYDRO,85.3,0.3931,0,0
2,3666,HYDRO,102,0.2616,0,0
12,44043,HYDRO,97,0.419,0,0
727,9792,GAS,42.7,0.0015,13956.59,2850.61
684,168926,GAS,50.5,0.0282,130073.14,1540.01
666,220654,GAS,52,0.0378,164264.47,1488.89
3,7793,HYDRO,98,0.3177,0,0
888,931672,GAS,55.5,0.1198,630772.68,1354.07
2,12555,HYDRO,86,0.7962,0,0
2,7903,HYDRO,86,0.4101,0,0
5,27855,HYDRO,102,0.6625,0,0
40,92480,HYDRO,94,0.2633,0,0
26,48415,HYDRO,108,0.2126,0,0
252,36219,GAS,39,0.0164,37439.59,2067.4
3,9190,HYDRO,103.5,0.3497,0,0
190,708585,HYDRO,55,0.4257,0,0
574,79835,GAS,53.4,0.0159,59485.84,1490.22
1612,116841,GAS,43,0.0083,88310.93,1511.64
11,32334,HYDRO,91,0.3296,0,0
11,23701,HYDRO,59,0.2505,0,0
1316,134574,GAS,50.9,0.0117,101015.41,1501.26
13,54054,HYDRO,98.4,0.4747,0,0
1108,6034355,GAS,9.5,0.6217,2595604.97,860.28
2254,13770832,NUCLEAR,31.5,0.6974,0,0
3,6861,HYDRO,116,0.2448,0,0
3,4985,HYDRO,16,0.1836,0,0
2,0,HYDRO,106,0,0,0
1200,9241133,NUCLEAR,31,0.8791,0,0
24,130964,HYDRO,65.7,0.6335,0,0
301,186884,GAS,39.8,0.0709,106610.56,1140.93
157,788899,HYDRO,55,0.5743,0,0
100,375977,HYDRO,46,0.4292,0,0
116,557200,HYDRO,41.7,0.5507,0,0
1320,5907112,COAL,49.5,0.5109,5419551.48,1834.92
10,48146,HYDRO,62,0.5496,0,0
10,48671,HYDRO,61.2,0.5669,0,0
20,98112,HYDRO,69.4,0.5714,0,0
33,24250,HYDRO,58,0.0839,0,0
256,578350,GAS,42.5,0.2579,368199.61,1273.28
12,44758,HYDRO,33,0.4258,0,0
3,8522,HYDRO,90,0.304,0,0
1331,241544,HYDRO,39,0.0207,0,0
38,97262,HYDRO,63,0.2961,0,0
2,12286,HYDRO,106.5,0.5844,0,0
11,46736,HYDRO,44,0.485,0,0
2,9334,HYDRO,94,0.5328,0,0
6,26402,HYDRO,88,0.5382,0,0
530,215888,GAS,22.1,0.0465,133288.16,1234.79
1750,4389873,GAS,36.3,0.2863,2072413.45,944.18
38,101479,HYDRO,63,0.3089,0,0
3,7951,HYDRO,57,0.2836,0,0
6,6713,HYDRO,93,0.1368,0,0
823,1014306,GAS,47.1,0.1407,645806.51,1273.4
8,11026,OIL,17.4,0.1656,8908.84,1615.97
38,99393,HYDRO,62,0.3026,0,0
788,1543868,GAS,11.1,0.2237,671814.28,870.3
95,33024,HYDRO,48,0.0399,0,0
9,3289,HYDRO,48,0.0417,0,0
44,167567,HYDRO,50,0.4347,0,0
27,105818,HYDRO,50,0.4425,0,0
10,54763,HYDRO,58,0.6251,0,0
72,209039,HYDRO,58,0.3314,0,0
17,95628,HYDRO,57,0.6421,0,0
42,174683,HYDRO,52,0.4759,0,0
10,77679,HYDRO,52,0.8867,0,0
59,278332,HYDRO,52,0.5385,0,0
75,43025,GAS,50,0.0655,25622.17,1191.04
4,0,OIL,27.5,0,72.49,-1725.85
179,78323,GAS,20,0.0501,52620.96,1343.69
1,0,OIL,23.2,0,26.34,-4052.84
15,57728,HYDRO,49,0.4307,0,0
116,545513,HYDRO,49,0.5364,0,0
6,31118,HYDRO,49,0.5823,0,0
79,362654,HYDRO,49,0.5227,0,0
3,5276,HYDRO,33,0.2231,0,0
158,390368,HYDRO,49.5,0.2824,0,0
162,585707,HYDRO,53.5,0.4137,0,0
74,120678,HYDRO,44,0.1859,0,0
26,61112,HYDRO,50,0.2736,0,0
266,617103,HYDRO,47,0.2648,0,0
276,890325,HYDRO,30.2,0.368,0,0
644,1377143,HYDRO,46.8,0.2441,0,0
115,175481,HYDRO,47,0.174,0,0
171,527932,HYDRO,40.4,0.3528,0,0
5,23250,HYDRO,91,0.5898,0,0
199,566959,HYDRO,60,0.3259,0,0
154,175963,HYDRO,52,0.1301,0,0
117,378586,HYDRO,65.7,0.3694,0,0
13,59698,HYDRO,60,0.5086,0,0
714,1840067,HYDRO,68.4,0.2942,0,0
25,1624,HYDRO,47.5,0.0074,0,0
120,439316,HYDRO,72.5,0.4179,0,0
424,0,HYDRO,47.8,-0.093,0,0
180,323355,HYDRO,51,0.2051,0,0
140,320533,HYDRO,51,0.2614,0,0
315,1155489,HYDRO,46,0.4187,0,0
47,196835,HYDRO,46,0.4812,0,0
1,452,HYDRO,29,0.0369,0,0
33,269,GAS,49.4,0,429.94,3196.55
44,257333,COAL,57.7,0.6722,347192.43,2698.39
58,3632,GAS,40,0.0072,3696.29,2035.4
158,608811,COAL,61.2,0.4399,962677.85,3162.49
10,8568,HYDRO,104,0.0978,0,0
300,0,HYDRO,48,-0.0112,0,0
75,359778,COAL,56,0.5476,506549.22,2815.9
801,3671765,COAL,51.4,0.5231,4410971.9,2402.64
1635,6039435,COAL,22.1,0.4216,7218633.28,2390.5
29,579,GAS,42,0.0023,1375.8,4752.31
1,4224,HYDRO,108.1,0.3709,0,0
3,13280,HYDRO,83,0.5053,0,0
1,2188,HYDRO,95,0.1784,0,0
14,60927,HYDRO,106,0.483,0,0
251,1090643,COAL,48.9,0.496,1231256.36,2257.85
115,3625,GAS,63.1,0.0036,17689.9,9759.94
3,19519,HYDRO,32,0.7683,0,0
3,18849,HYDRO,32,0.742,0,0
8,14846,HYDRO,32,0.2145,0,0
2,2288,HYDRO,31,0.1375,0,0
3,5779,HYDRO,31,0.2128,0,0
6,31394,HYDRO,30,0.6074,0,0
4,8851,HYDRO,30,0.2464,0,0
4,12179,HYDRO,32,0.316,0,0
257,1624546,COAL,45.1,0.7216,1977596.53,2434.65
60,3689,GAS,60.1,0.0071,3593.61,1948.28
6,23709,HYDRO,69.8,0.4511,0,0
1,1196,HYDRO,90,0.1138,0,0
5,418,GAS,65.2,0.0099,290.46,1389.75
