id,name,lat,lon,nameplate,generation,fuel,
5516,Mitchell,39.8297,-80.8153,1633,10242061,COAL,
4629,Lagoon Creek,35.6578,-89.3964,1625,1612587,GAS,
773,Ormond Beach,34.1292,-119.1689,1612,116841,GAS,
2314,Brayton Point,41.7125,-71.1914,1611,6665865,COAL,
4601,Allen Steam Plant,35.0742,-90.1439,1611,4753331,COAL,
2200,H L Spurlock,38.7,-83.8175,1609,9071646,COAL,
2630,J H Campbell,42.9103,-86.2036,1605,9844867,COAL,
3572,PSEG Linden Generating Station,40.6225,-74.2097,1589,5015308,GAS,
2134,La Cygne,38.3472,-94.6389,1578,8920856,COAL,
2699,St Clair,42.7625,-82.4722,1571,6786642,COAL,
4340,Eddystone Generating Station,39.858,-75.323,1569,2034237,COAL,
4428,PPL Brunner Island,40.097,-76.6962,1567,10174222,COAL,
3901,Northport,40.9231,-73.3417,1564,4029477,GAS,
2436,Morgantown Generating Plant,38.3592,-76.9767,1548,7162086,COAL,
4693,Cedar Bayou,29.7483,-94.9272,1530,1114118,GAS,
4073,Muskingum River,39.5908,-81.6797,1529,6701885,COAL,
1487,Yates,33.4622,-84.8986,1487,5628804,COAL,
4986,Hunter,39.1747,-111.0289,1472,8785827,COAL,
3637,Chuck Lenzie Generating Station,36.3853,-114.9228,1466,7166875,GAS,
4067,Miami Fort,39.1131,-84.8031,1444,8562709,COAL,
4788,J K Spruce,29.3091,-98.3205,1444,6601370,COAL,
4171,Redbud Power Plant,35.6853,-97.2242,1434,5399002,GAS,
4773,Handley,32.7278,-97.2186,1433,362006,GAS,
4115,Walter C Beckjord,38.9917,-84.2981,1433,3772205,COAL,
1343,Seminole,29.7333,-81.6339,1429,8929519,COAL,
1081,Craig,40.4627,-107.5912,1428,9752406,COAL,
3571,PSEG Kearny Generating Station,40.7375,-74.1,1426,174044,GAS,
4113,W H Zimmer,38.8689,-84.2286,1426,9700403,COAL,
144,Gorgas,33.6446,-87.2003,1417,6875509,COAL,
1319,Northside Generating Station,30.4172,-81.5525,1407,4319359,OIL,
809,Pittsburg Power,38.0392,-121.894,1404,52862,GAS,
3410,Nebraska City,40.6215,-95.7765,1390,8214017,COAL,
270,Mesquite Generating Station,33.344,-112.8535,1383,7602046,GAS,
4933,Tradinghouse Power Company LLC,31.5733,-96.9642,1380,237070,GAS,
3639,Clark,36.0875,-115.0507,1377,562962,GAS,
1431,McIntosh Combined Cycle Facility,32.3478,-81.1828,1377,7699404,GAS,
2228,Acadia Energy Center,30.4284,-92.4112,1376,3046006,GAS,
3108,Grand Gulf,32.0081,-91.0478,1373,9643241,NUCLEAR,
2412,Brandon Shores,39.1792,-76.5383,1370,6073850,COAL,
4151,Kiamichi Energy Facility,34.6831,-95.9349,1370,3235649,GAS,
2289,R S Nelson,30.2861,-93.2917,1370,4651996,COAL,
5505,FirstEnergy Pleasants Power Station,39.3668,-81.2944,1368,8287674,COAL,
3390,Gerald Gentleman,41.0808,-101.1408,1363,9158804,COAL,
3511,Bergen Generating Station,40.8375,-74.0244,1362,6074632,GAS,
1349,St Johns River Power Park,30.4311,-81.5508,1358,9176893,COAL,
3702,Astoria Generating Station,40.7869,-73.9122,1345,1824414,GAS,
4343,Fairless Energy Center,40.1464,-74.7406,1338,5548247,GAS,
